severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-07-24T19:11:40-0700		748.0		typescript:S3776	dynamsoft-dlrjs-src	1h37min	Refactor this function to reduce its Cognitive Complexity from 107 to the 15 allowed.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"brain-overload / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts	"{locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=749.0, endLine=749.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=761.0, endLine=761.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl. 2 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=761.0, endLine=761.0, startOffset=26.0, endOffset=28.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=765.0, endLine=765.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl. 2 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=767.0, endLine=767.0, startOffset=17.0, endOffset=21.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=778.0, endLine=778.0, startOffset=38.0, endOffset=39.0}, msg=+4 (incl. 3 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=781.0, endLine=781.0, startOffset=20.0, endOffset=26.0}, msg=+4 (incl. 3 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=783.0, endLine=783.0, startOffset=28.0, endOffset=30.0}, msg=+5 (incl. 4 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=787.0, endLine=787.0, startOffset=28.0, endOffset=30.0}, msg=+5 (incl. 4 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=789.0, endLine=789.0, startOffset=28.0, endOffset=30.0}, msg=+5 (incl. 4 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=794.0, endLine=794.0, startOffset=28.0, endOffset=30.0}, msg=+5 (incl. 4 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=803.0, endLine=803.0, startOffset=29.0, endOffset=33.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=798.0, endLine=798.0, startOffset=32.0, endOffset=34.0}, msg=+6 (incl. 5 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=800.0, endLine=800.0, startOffset=32.0, endOffset=34.0}, msg=+6 (incl. 5 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=806.0, endLine=806.0, startOffset=32.0, endOffset=34.0}, msg=+6 (incl. 5 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=808.0, endLine=808.0, startOffset=36.0, endOffset=38.0}, msg=+7 (incl. 6 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=808.0, endLine=808.0, startOffset=64.0, endOffset=66.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=814.0, endLine=814.0, startOffset=28.0, endOffset=30.0}, msg=+5 (incl. 4 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=815.0, endLine=815.0, startOffset=71.0, endOffset=72.0}, msg=+6 (incl. 5 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=818.0, endLine=818.0, startOffset=41.0, endOffset=42.0}, msg=+5 (incl. 4 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=831.0, endLine=831.0, startOffset=29.0, endOffset=34.0}, msg=+5 (incl. 4 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=838.0, endLine=838.0, startOffset=28.0, endOffset=30.0}, msg=+5 (incl. 4 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=839.0, endLine=839.0, startOffset=70.0, endOffset=72.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=840.0, endLine=840.0, startOffset=35.0, endOffset=37.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=841.0, endLine=841.0, startOffset=71.0, endOffset=73.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=845.0, endLine=845.0, startOffset=35.0, endOffset=37.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=846.0, endLine=846.0, startOffset=65.0, endOffset=67.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=851.0, endLine=851.0, startOffset=28.0, endOffset=30.0}, msg=+5 (incl. 4 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=856.0, endLine=856.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl. 2 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=868.0, endLine=868.0, startOffset=69.0, endOffset=70.0}, msg=+3 (incl. 2 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=868.0, endLine=868.0, startOffset=32.0, endOffset=33.0}, msg=+1}]} / "	MAIN	{startLine=748.0, endLine=748.0, startOffset=17.0, endOffset=25.0}	1h37min	AYmK0pRBkLc1XV_B8pJ8	b79cd748369ef94a8cbd18827f2e8902	OPEN
MINOR	2023-07-25T02:17:50-0700		769.0		typescript:S4325	dynamsoft-dlrjs-src	1min	This assertion is unnecessary since it does not change the type of the expression.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"redundant / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=769.0, endLine=769.0, startOffset=50.0, endOffset=78.0}	1min	AYmK0pRBkLc1XV_B8pJ9	f7705725c5070b8412ad994fd1bfa9b2	OPEN
MAJOR	2023-07-24T19:11:40-0700		819.0		typescript:S125	dynamsoft-dlrjs-src	5min	Remove this commented out code.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"unused / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=819.0, endLine=822.0, startOffset=28.0, endOffset=32.0}	5min	AYmK0pRBkLc1XV_B8pJ-	b6c421c9cf02d590fb5123b218992948	OPEN
INFO	2023-07-24T19:11:40-0700		857.0		typescript:S1135	dynamsoft-dlrjs-src	0min	"Complete the task associated to this ""TODO"" comment."	2023-07-24T19:11:40-0700	CODE_SMELL	false	"cwe / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=857.0, endLine=857.0, startOffset=19.0, endOffset=23.0}	0min	AYmK0pRBkLc1XV_B8pJ_	456fc12b37d78a0f19e47b289a6d1607	OPEN
MINOR	2023-07-24T19:11:40-0700		893.0		typescript:S4326	dynamsoft-dlrjs-src	1min	Redundant use of `await` on a return value.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"redundant / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=893.0, endLine=910.0, startOffset=15.0, endOffset=10.0}	1min	AYmK0pRBkLc1XV_B8pKA	f2eab8873d5e55f50edf48ced510e988	OPEN
CRITICAL	2023-07-24T19:11:40-0700		913.0		typescript:S1186	dynamsoft-dlrjs-src	5min	Unexpected empty constructor.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"suspicious / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=913.0, endLine=913.0, startOffset=25.0, endOffset=27.0}	5min	AYmK0pRBkLc1XV_B8pKB	e813bcbd6e2d36cfb0fb1924d0d1b61d	OPEN
MAJOR	2023-07-24T19:11:40-0700		925.0		typescript:S125	dynamsoft-dlrjs-src	5min	Remove this commented out code.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"unused / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=925.0, endLine=925.0, startOffset=8.0, endOffset=37.0}	5min	AYmK0pRCkLc1XV_B8pKC	289bde5b4eeb128d3373099d8fac1453	OPEN
CRITICAL	2023-07-24T19:11:40-0700		945.0		typescript:S3776	dynamsoft-dlrjs-src	24min	Refactor this function to reduce its Cognitive Complexity from 34 to the 15 allowed.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"brain-overload / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts	"{locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=946.0, endLine=946.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=947.0, endLine=947.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=948.0, endLine=948.0, startOffset=23.0, endOffset=25.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=950.0, endLine=950.0, startOffset=8.0, endOffset=10.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=985.0, endLine=985.0, startOffset=9.0, endOffset=13.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=951.0, endLine=951.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=954.0, endLine=954.0, startOffset=17.0, endOffset=19.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=957.0, endLine=957.0, startOffset=17.0, endOffset=19.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=957.0, endLine=957.0, startOffset=49.0, endOffset=50.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=960.0, endLine=960.0, startOffset=17.0, endOffset=19.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=960.0, endLine=960.0, startOffset=55.0, endOffset=57.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=960.0, endLine=960.0, startOffset=55.0, endOffset=57.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=963.0, endLine=963.0, startOffset=17.0, endOffset=19.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=966.0, endLine=966.0, startOffset=17.0, endOffset=19.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=969.0, endLine=969.0, startOffset=17.0, endOffset=19.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=970.0, endLine=970.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl. 2 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=973.0, endLine=973.0, startOffset=16.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=976.0, endLine=976.0, startOffset=19.0, endOffset=21.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=979.0, endLine=979.0, startOffset=19.0, endOffset=21.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=982.0, endLine=982.0, startOffset=14.0, endOffset=18.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=986.0, endLine=986.0, startOffset=12.0, endOffset=14.0}, msg=+2 (incl. 1 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=988.0, endLine=988.0, startOffset=18.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=990.0, endLine=990.0, startOffset=18.0, endOffset=20.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=999.0, endLine=999.0, startOffset=13.0, endOffset=17.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=991.0, endLine=991.0, startOffset=16.0, endOffset=18.0}, msg=+3 (incl. 2 for nesting)}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=994.0, endLine=994.0, startOffset=21.0, endOffset=23.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=996.0, endLine=996.0, startOffset=17.0, endOffset=21.0}, msg=+1}]} / {locations=[{component=dynamsoft-dlrjs-src:src/class/labelrecognizer.ts, textRange={startLine=1003.0, endLine=1003.0, startOffset=43.0, endOffset=45.0}, msg=+1}]} / "	MAIN	{startLine=945.0, endLine=945.0, startOffset=10.0, endOffset=19.0}	24min	AYmK0pRCkLc1XV_B8pKD	0149413845f8ecfdfa3d26dad825ecad	OPEN
MINOR	2023-07-24T19:11:40-0700		991.0		typescript:S4325	dynamsoft-dlrjs-src	1min	This assertion is unnecessary since it does not change the type of the expression.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"redundant / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=991.0, endLine=991.0, startOffset=20.0, endOffset=36.0}	1min	AYmK0pRCkLc1XV_B8pKE	fc64d7b18f37447392fbcd36d45e650d	OPEN
MINOR	2023-07-24T19:11:40-0700		994.0		typescript:S4325	dynamsoft-dlrjs-src	1min	This assertion is unnecessary since it does not change the type of the expression.	2023-07-24T19:11:40-0700	CODE_SMELL	false	"redundant / "	dynamsoft-dlrjs-src:src/class/labelrecognizer.ts		MAIN	{startLine=994.0, endLine=994.0, startOffset=25.0, endOffset=41.0}	1min	AYmK0pRCkLc1XV_B8pKF	5b9d2cf884e2374413f55e3efe8ba5fa	OPEN
